core_a,core_b,K,valid_repeat_count,not_estimable_repeat_count,same_parent_run_count,conditional_same_parent_fraction,unconditional_same_parent_fraction
CORE01,CORE02,2,3,0,0,0.0,0.0
CORE01,CORE02,3,3,0,0,0.0,0.0
CORE01,CORE02,4,3,0,0,0.0,0.0
CORE01,CORE02,5,3,0,0,0.0,0.0
CORE01,CORE02,6,3,0,0,0.0,0.0
CORE01,CORE02,7,3,0,0,0.0,0.0
CORE01,CORE02,8,2,1,0,0.0,0.0
CORE01,CORE03,2,3,0,3,1.0,1.0
CORE01,CORE03,3,3,0,3,1.0,1.0
CORE01,CORE03,4,3,0,3,1.0,1.0
CORE01,CORE03,5,3,0,3,1.0,1.0
CORE01,CORE03,6,0,3,0,,0.0
CORE01,CORE03,7,3,0,0,0.0,0.0
CORE01,CORE03,8,3,0,0,0.0,0.0
CORE01,CORE04,2,3,0,0,0.0,0.0
CORE01,CORE04,3,3,0,0,0.0,0.0
CORE01,CORE04,4,3,0,0,0.0,0.0
CORE01,CORE04,5,3,0,0,0.0,0.0
CORE01,CORE04,6,3,0,0,0.0,0.0
CORE01,CORE04,7,3,0,0,0.0,0.0
CORE01,CORE04,8,3,0,0,0.0,0.0
CORE01,CORE05,2,3,0,0,0.0,0.0
CORE01,CORE05,3,0,3,0,,0.0
CORE01,CORE05,4,3,0,0,0.0,0.0
CORE01,CORE05,5,3,0,0,0.0,0.0
CORE01,CORE05,6,3,0,0,0.0,0.0
CORE01,CORE05,7,3,0,0,0.0,0.0
CORE01,CORE05,8,2,1,0,0.0,0.0
CORE02,CORE03,2,3,0,0,0.0,0.0
CORE02,CORE03,3,3,0,0,0.0,0.0
CORE02,CORE03,4,3,0,0,0.0,0.0
CORE02,CORE03,5,3,0,0,0.0,0.0
CORE02,CORE03,6,0,3,0,,0.0
CORE02,CORE03,7,3,0,0,0.0,0.0
CORE02,CORE03,8,2,1,0,0.0,0.0
CORE02,CORE04,2,3,0,3,1.0,1.0
CORE02,CORE04,3,3,0,3,1.0,1.0
CORE02,CORE04,4,3,0,3,1.0,1.0
CORE02,CORE04,5,3,0,0,0.0,0.0
CORE02,CORE04,6,3,0,0,0.0,0.0
CORE02,CORE04,7,3,0,0,0.0,0.0
CORE02,CORE04,8,2,1,0,0.0,0.0
CORE02,CORE05,2,3,0,3,1.0,1.0
CORE02,CORE05,3,0,3,0,,0.0
CORE02,CORE05,4,3,0,3,1.0,1.0
CORE02,CORE05,5,3,0,3,1.0,1.0
CORE02,CORE05,6,3,0,3,1.0,1.0
CORE02,CORE05,7,3,0,0,0.0,0.0
CORE02,CORE05,8,1,2,0,0.0,0.0
CORE03,CORE04,2,3,0,0,0.0,0.0
CORE03,CORE04,3,3,0,0,0.0,0.0
CORE03,CORE04,4,3,0,0,0.0,0.0
CORE03,CORE04,5,3,0,0,0.0,0.0
CORE03,CORE04,6,0,3,0,,0.0
CORE03,CORE04,7,3,0,0,0.0,0.0
CORE03,CORE04,8,3,0,0,0.0,0.0
CORE03,CORE05,2,3,0,0,0.0,0.0
CORE03,CORE05,3,0,3,0,,0.0
CORE03,CORE05,4,3,0,0,0.0,0.0
CORE03,CORE05,5,3,0,0,0.0,0.0
CORE03,CORE05,6,0,3,0,,0.0
CORE03,CORE05,7,3,0,0,0.0,0.0
CORE03,CORE05,8,2,1,0,0.0,0.0
CORE04,CORE05,2,3,0,3,1.0,1.0
CORE04,CORE05,3,0,3,0,,0.0
CORE04,CORE05,4,3,0,3,1.0,1.0
CORE04,CORE05,5,3,0,0,0.0,0.0
CORE04,CORE05,6,3,0,0,0.0,0.0
CORE04,CORE05,7,3,0,0,0.0,0.0
CORE04,CORE05,8,2,1,0,0.0,0.0
