partition,reference,state,reference_subtype,state_n,state_subtype_n,state_subtype_fraction,rest_n,rest_subtype_n,rest_subtype_fraction,odds_ratio,ci_low,ci_high,fisher_p,bh_q
5V-7state,ClearCode34,CORE01,ccA,12,12,1.0,44,15,0.3409090909090909,47.5806451613,2.6368191915,858.5790794086,3.11325e-05,0.0002179275
5V-7state,ClearCode34,CORE01,ccB,12,0,0.0,44,29,0.6590909090909091,0.0210169492,0.0011647151,0.3792448126,3.11325e-05,0.0002179275
5V-7state,ClearCode34,CORE02,ccA,12,4,0.3333333333333333,44,23,0.5227272727272727,0.4843554443,0.1341763576,1.7484466019,0.3336648188,0.4945914472
5V-7state,ClearCode34,CORE02,ccB,12,8,0.6666666666666666,44,21,0.4772727272727273,2.0645994832,0.5719362541,7.4528778258,0.3336648188,0.4945914472
5V-7state,ClearCode34,CORE03,ccA,8,0,0.0,48,27,0.5625,0.0459893048,0.0025115849,0.8421041995,0.0045844753,0.0160456635
5V-7state,ClearCode34,CORE03,ccB,8,8,1.0,48,21,0.4375,21.7441860465,1.1875014999,398.1549723301,0.0045844753,0.0160456635
5V-7state,ClearCode34,CORE04,ccA,9,7,0.7777777777777778,47,20,0.425531914893617,4.0243902439,0.8615380877,18.798608054,0.0733255566,0.1710929654
5V-7state,ClearCode34,CORE04,ccB,9,2,0.2222222222222222,47,27,0.574468085106383,0.2484848485,0.0531954279,1.1607147893,0.0733255566,0.1710929654
5V-7state,ClearCode34,CORE05,ccA,7,2,0.2857142857142857,49,25,0.5102040816326531,0.4367201426,0.0886548495,2.151314722,0.4239355262,0.4945914472
5V-7state,ClearCode34,CORE05,ccB,7,5,0.7142857142857143,49,24,0.4897959183673469,2.2897959184,0.4648320349,11.2796988025,0.4239355262,0.4945914472
5V-7state,ClearCode34,CORE06,ccA,5,1,0.2,51,26,0.5098039215686274,0.320754717,0.0467326923,2.2015335194,0.3533447684,0.4945914472
5V-7state,ClearCode34,CORE06,ccB,5,4,0.8,51,25,0.49019607843137253,3.1176470588,0.4542288324,21.3982963876,0.3533447684,0.4945914472
5V-7state,ClearCode34,CORE07,ccA,3,1,0.3333333333333333,53,26,0.49056603773584906,0.6226415094,0.0767505453,5.0512012336,1.0,1.0
5V-7state,ClearCode34,CORE07,ccB,3,2,0.6666666666666666,53,27,0.5094339622641509,1.6060606061,0.1979727106,13.0292233839,1.0,1.0
